Experiment,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC
LightGBM_FE_v2_threshold,0.7499999999999997,0.992,0.9148936170212766,0.8431372549019608,0.8775510204081632,0.9820024628208771
LightGBM_FE_v2_threshold,0.7599999999999997,0.992,0.9148936170212766,0.8431372549019608,0.8775510204081632,0.9820024628208771
LightGBM_FE_v2_threshold,0.7699999999999997,0.992,0.9148936170212766,0.8431372549019608,0.8775510204081632,0.9820024628208771
LightGBM_FE_v2_threshold,0.7799999999999997,0.992,0.9148936170212766,0.8431372549019608,0.8775510204081632,0.9820024628208771
LightGBM_FE_v2_threshold,0.7899999999999997,0.992,0.9148936170212766,0.8431372549019608,0.8775510204081632,0.9820024628208771
LightGBM_FE_v2_threshold,0.7999999999999996,0.992,0.9148936170212766,0.8431372549019608,0.8775510204081632,0.9820024628208771
LightGBM_FE_v2_threshold,0.8099999999999996,0.992,0.9148936170212766,0.8431372549019608,0.8775510204081632,0.9820024628208771
LightGBM_FE_v2_threshold,0.8199999999999996,0.9913333333333333,0.9130434782608695,0.8235294117647058,0.865979381443299,0.9820024628208771
LightGBM_FE_v2_threshold,0.8299999999999996,0.9913333333333333,0.9130434782608695,0.8235294117647058,0.865979381443299,0.9820024628208771
LightGBM_FE_v2_threshold,0.8399999999999996,0.9913333333333333,0.9130434782608695,0.8235294117647058,0.865979381443299,0.9820024628208771
LightGBM_FE_v2_threshold,0.8499999999999996,0.9913333333333333,0.9130434782608695,0.8235294117647058,0.865979381443299,0.9820024628208771
LightGBM_FE_v2_threshold,0.8599999999999997,0.9913333333333333,0.9130434782608695,0.8235294117647058,0.865979381443299,0.9820024628208771
LightGBM_FE_v2_threshold,0.8699999999999997,0.9913333333333333,0.9130434782608695,0.8235294117647058,0.865979381443299,0.9820024628208771
LightGBM_FE_v2_threshold,0.8799999999999997,0.9913333333333333,0.9130434782608695,0.8235294117647058,0.865979381443299,0.9820024628208771
LightGBM_FE_v2_threshold,0.8899999999999996,0.9913333333333333,0.9130434782608695,0.8235294117647058,0.865979381443299,0.9820024628208771
LightGBM_FE_v2_threshold,0.8999999999999996,0.9913333333333333,0.9130434782608695,0.8235294117647058,0.865979381443299,0.9820024628208771
LightGBM_FE_v2_tuned_threshold,0.1,0.982,0.6818181818181818,0.8823529411764706,0.7692307692307693,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.11,0.982,0.6818181818181818,0.8823529411764706,0.7692307692307693,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.12,0.982,0.6818181818181818,0.8823529411764706,0.7692307692307693,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.13,0.9833333333333333,0.703125,0.8823529411764706,0.782608695652174,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.13999999999999999,0.984,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.14999999999999997,0.984,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.15999999999999998,0.984,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.16999999999999998,0.984,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.17999999999999997,0.984,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.18999999999999995,0.9833333333333333,0.7096774193548387,0.8627450980392157,0.7787610619469026,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.19999999999999996,0.9846666666666667,0.7333333333333333,0.8627450980392157,0.7927927927927928,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.20999999999999996,0.9846666666666667,0.7333333333333333,0.8627450980392157,0.7927927927927928,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.21999999999999995,0.9846666666666667,0.7333333333333333,0.8627450980392157,0.7927927927927928,0.9881189190652107
